                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.5534,                 4.0495,                 1.0229,                0.45772,                0.37122,                0.37183,                0.21647,                 1.4617,                 4.0084,                 1.0155,              0.0007003,              0.0007003,              0.0007003
                     63,                 1.5485,                 4.0163,                  1.021,                0.46188,                0.37084,                0.37342,                 0.2176,                 1.4631,                 4.0065,                 1.0153,             0.00069531,             0.00069531,             0.00069531
                     64,                 1.5464,                 3.9969,                 1.0208,                0.45986,                0.37394,                0.37488,                0.21882,                 1.4617,                  3.994,                 1.0158,             0.00069031,             0.00069031,             0.00069031
                     65,                 1.5452,                 3.9701,                 1.0206,                0.46802,                0.37633,                0.38005,                0.22179,                 1.4554,                 3.9626,                 1.0132,             0.00068532,             0.00068532,             0.00068532
                     66,                 1.5366,                 3.9464,                 1.0177,                0.46207,                0.37622,                0.38179,                0.22215,                 1.4523,                 3.9554,                 1.0129,             0.00068032,             0.00068032,             0.00068032
                     67,                 1.5415,                 3.9676,                  1.019,                0.47734,                0.36678,                0.37968,                0.22313,                 1.4489,                 3.9542,                   1.01,             0.00067533,             0.00067533,             0.00067533
                     68,                 1.5312,                 3.9206,                 1.0158,                0.45638,                0.38451,                0.38333,                0.22549,                 1.4443,                  3.931,                 1.0091,             0.00067033,             0.00067033,             0.00067033
                     69,                 1.5229,                 3.9019,                 1.0142,                0.46598,                0.38085,                0.38569,                0.22615,                 1.4409,                 3.9075,                 1.0093,             0.00066533,             0.00066533,             0.00066533
                     70,                  1.529,                 3.8922,                 1.0162,                0.46485,                0.38248,                0.38582,                0.22629,                 1.4407,                 3.9094,                 1.0085,             0.00066034,             0.00066034,             0.00066034
                     71,                 1.5214,                 3.8523,                  1.015,                0.47276,                0.38106,                0.39024,                0.22914,                 1.4365,                 3.8967,                  1.008,             0.00065535,             0.00065535,             0.00065535
                     72,                   1.52,                  3.858,                 1.0126,                0.46938,                0.38568,                0.39022,                 0.2294,                 1.4366,                 3.8873,                 1.0081,             0.00065035,             0.00065035,             0.00065035
                     73,                 1.5094,                 3.8345,                 1.0105,                0.47158,                0.38134,                0.38943,                0.22877,                 1.4344,                 3.8796,                 1.0064,             0.00064536,             0.00064536,             0.00064536
                     74,                 1.5133,                 3.8221,                 1.0123,                0.47786,                0.38085,                0.39103,                0.23021,                  1.433,                 3.8713,                 1.0068,             0.00064036,             0.00064036,             0.00064036
                     75,                 1.5152,                 3.8382,                 1.0118,                0.48236,                0.38033,                0.39245,                0.23077,                 1.4325,                 3.8648,                 1.0064,             0.00063536,             0.00063536,             0.00063536
                     76,                 1.5071,                 3.7833,                 1.0088,                 0.4789,                0.38676,                0.39291,                0.23054,                 1.4285,                 3.8535,                 1.0052,             0.00063037,             0.00063037,             0.00063037
                     77,                 1.5077,                  3.791,                   1.01,                0.47971,                0.38694,                0.39287,                0.23166,                 1.4272,                 3.8373,                 1.0044,             0.00062538,             0.00062538,             0.00062538
                     78,                 1.5028,                 3.7782,                 1.0093,                0.48372,                0.38953,                0.39716,                0.23326,                 1.4255,                 3.8317,                 1.0043,             0.00062038,             0.00062038,             0.00062038
                     79,                 1.5065,                 3.7804,                 1.0093,                0.48647,                0.38951,                0.39783,                0.23403,                 1.4227,                 3.8213,                 1.0036,             0.00061538,             0.00061538,             0.00061538
                     80,                 1.5043,                 3.7765,                 1.0094,                0.48086,                0.39608,                 0.4014,                0.23623,                 1.4212,                 3.8117,                 1.0034,             0.00061039,             0.00061039,             0.00061039
                     81,                 1.4901,                 3.7189,                 1.0062,                0.48626,                0.39042,                0.39954,                0.23534,                 1.4193,                 3.8066,                 1.0026,             0.00060539,             0.00060539,             0.00060539
                     82,                 1.4949,                 3.7258,                 1.0059,                0.48815,                0.39407,                0.40061,                0.23556,                 1.4177,                 3.8018,                 1.0021,              0.0006004,              0.0006004,              0.0006004
                     83,                 1.4923,                 3.7258,                 1.0064,                0.49563,                 0.3922,                0.40172,                0.23645,                 1.4141,                 3.7877,                 1.0014,             0.00059541,             0.00059541,             0.00059541
                     84,                  1.485,                 3.6949,                 1.0033,                0.49926,                0.39384,                0.40545,                0.23904,                 1.4121,                 3.7745,                 1.0009,             0.00059041,             0.00059041,             0.00059041
                     85,                 1.4878,                 3.6926,                 1.0032,                0.49395,                0.39021,                 0.4039,                0.23924,                 1.4109,                 3.7717,                 1.0003,             0.00058542,             0.00058542,             0.00058542
                     86,                 1.4899,                   3.69,                 1.0053,                0.49787,                0.39305,                0.40534,                0.24006,                  1.411,                 3.7675,                0.99961,             0.00058042,             0.00058042,             0.00058042
                     87,                 1.4866,                 3.6767,                 1.0039,                0.48967,                0.39577,                0.40713,                0.24102,                 1.4084,                 3.7571,                0.99948,             0.00057542,             0.00057542,             0.00057542
                     88,                 1.4794,                 3.6537,                 1.0036,                0.48731,                0.40318,                0.40954,                  0.242,                 1.4066,                 3.7504,                0.99935,             0.00057043,             0.00057043,             0.00057043
                     89,                 1.4807,                 3.6527,                 1.0032,                0.49242,                0.40289,                0.41003,                0.24238,                  1.408,                 3.7502,                0.99955,             0.00056543,             0.00056543,             0.00056543
                     90,                 1.4736,                 3.6451,                 1.0017,                0.49458,                0.40542,                0.41095,                 0.2437,                 1.4045,                 3.7367,                 0.9985,             0.00056044,             0.00056044,             0.00056044
                     91,                 1.4794,                 3.6432,                 1.0013,                0.49662,                0.40191,                0.41195,                  0.244,                 1.4042,                 3.7307,                0.99834,             0.00055545,             0.00055545,             0.00055545
                     92,                 1.4754,                 3.6182,                  1.001,                0.49673,                0.40411,                 0.4123,                0.24434,                  1.404,                 3.7265,                0.99831,             0.00055045,             0.00055045,             0.00055045
                     93,                 1.4743,                 3.5951,                0.99943,                0.49032,                0.40724,                0.41184,                0.24475,                 1.4033,                  3.726,                0.99796,             0.00054545,             0.00054545,             0.00054545
                     94,                  1.471,                 3.5854,                      1,                0.49804,                0.40502,                0.41304,                0.24562,                 1.4011,                 3.7256,                0.99758,             0.00054046,             0.00054046,             0.00054046
                     95,                 1.4692,                 3.5865,                 1.0001,                0.49695,                0.40439,                0.41369,                0.24551,                 1.3995,                 3.7166,                0.99725,             0.00053546,             0.00053546,             0.00053546
                     96,                 1.4686,                 3.5699,                0.99944,                0.50302,                0.40292,                0.41354,                0.24627,                 1.3974,                 3.7061,                0.99631,             0.00053047,             0.00053047,             0.00053047
                     97,                 1.4666,                 3.5631,                0.99832,                0.49988,                0.40855,                0.41599,                0.24724,                 1.3967,                 3.6997,                0.99605,             0.00052548,             0.00052548,             0.00052548
                     98,                 1.4576,                 3.5407,                0.99729,                0.50216,                0.40467,                0.41568,                0.24725,                 1.3957,                 3.6977,                0.99586,             0.00052048,             0.00052048,             0.00052048
                     99,                 1.4616,                 3.5419,                0.99767,                 0.5032,                0.40418,                0.41602,                0.24744,                  1.396,                 3.6938,                0.99593,             0.00051548,             0.00051548,             0.00051548
                    100,                 1.4571,                  3.525,                0.99593,                0.50692,                0.40495,                0.41727,                0.24856,                 1.3948,                 3.6911,                0.99492,             0.00051049,             0.00051049,             0.00051049
                    101,                 1.4567,                 3.5206,                0.99515,                0.50662,                0.40585,                0.41823,                0.24903,                 1.3941,                 3.6854,                0.99454,              0.0005055,              0.0005055,              0.0005055
                    102,                 1.4619,                 3.5347,                0.99759,                0.51419,                 0.4021,                0.41908,                0.24911,                 1.3931,                 3.6799,                0.99462,              0.0005005,              0.0005005,              0.0005005
                    103,                 1.4566,                 3.5194,                0.99596,                0.51323,                0.40475,                0.42021,                0.24987,                 1.3927,                 3.6744,                0.99495,             0.00049551,             0.00049551,             0.00049551
                    104,                 1.4542,                 3.5014,                0.99584,                0.51878,                0.40083,                0.42209,                0.25115,                 1.3912,                 3.6683,                0.99459,             0.00049051,             0.00049051,             0.00049051
                    105,                  1.446,                 3.4741,                0.99163,                0.52435,                0.40362,                0.42368,                0.25194,                 1.3895,                  3.663,                0.99384,             0.00048552,             0.00048552,             0.00048552
                    106,                 1.4527,                 3.4877,                0.99368,                0.52711,                0.40095,                 0.4236,                0.25181,                 1.3885,                 3.6606,                 0.9934,             0.00048052,             0.00048052,             0.00048052
                    107,                 1.4484,                 3.4898,                 0.9942,                0.51096,                0.40757,                0.42357,                0.25153,                 1.3881,                 3.6565,                0.99334,             0.00047552,             0.00047552,             0.00047552
                    108,                 1.4476,                  3.466,                0.99173,                0.50765,                0.41248,                0.42444,                0.25194,                 1.3873,                 3.6534,                0.99312,             0.00047053,             0.00047053,             0.00047053
                    109,                 1.4431,                 3.4503,                0.99201,                  0.507,                0.41041,                0.42569,                0.25274,                 1.3863,                 3.6524,                0.99276,             0.00046553,             0.00046553,             0.00046553
                    110,                  1.446,                  3.452,                0.99249,                0.51019,                0.41106,                0.42563,                0.25292,                 1.3866,                 3.6513,                0.99282,             0.00046054,             0.00046054,             0.00046054
                    111,                 1.4384,                 3.4411,                0.99139,                0.50787,                0.41324,                0.42697,                0.25374,                 1.3859,                 3.6473,                0.99288,             0.00045554,             0.00045554,             0.00045554
                    112,                 1.4379,                  3.442,                0.99139,                0.51254,                0.41015,                0.42661,                0.25368,                 1.3852,                 3.6457,                0.99293,             0.00045055,             0.00045055,             0.00045055
                    113,                 1.4282,                 3.4104,                0.99032,                0.51496,                0.40865,                0.42765,                0.25457,                 1.3844,                 3.6416,                0.99274,             0.00044555,             0.00044555,             0.00044555
                    114,                 1.4361,                 3.4216,                0.98938,                0.51302,                0.41231,                0.42784,                 0.2545,                 1.3841,                 3.6405,                0.99244,             0.00044056,             0.00044056,             0.00044056
                    115,                 1.4349,                 3.4093,                0.99095,                0.50669,                0.41872,                0.42813,                0.25457,                 1.3841,                 3.6362,                 0.9924,             0.00043557,             0.00043557,             0.00043557
                    116,                 1.4332,                 3.4058,                 0.9895,                0.51187,                0.41519,                0.42841,                0.25469,                 1.3837,                 3.6335,                0.99229,             0.00043057,             0.00043057,             0.00043057
                    117,                 1.4366,                 3.3974,                0.98967,                0.51475,                0.41592,                0.42897,                0.25468,                  1.383,                 3.6307,                0.99202,             0.00042558,             0.00042558,             0.00042558
                    118,                 1.4392,                 3.4032,                0.98945,                0.51435,                0.41366,                0.42947,                0.25477,                 1.3825,                 3.6265,                0.99188,             0.00042058,             0.00042058,             0.00042058
                    119,                 1.4369,                 3.3946,                0.98982,                0.52075,                0.40948,                0.42954,                0.25484,                 1.3819,                 3.6234,                0.99165,             0.00041559,             0.00041559,             0.00041559
                    120,                 1.4264,                 3.3565,                0.98819,                0.52099,                0.41061,                 0.4297,                0.25478,                 1.3807,                 3.6186,                0.99119,             0.00041059,             0.00041059,             0.00041059
                    121,                 1.4378,                 3.3882,                0.98853,                 0.5202,                0.41232,                0.43015,                0.25537,                 1.3797,                 3.6151,                0.99094,              0.0004056,              0.0004056,              0.0004056
                    122,                  1.427,                 3.3598,                0.98572,                0.51907,                 0.4139,                0.43082,                0.25605,                 1.3787,                 3.6113,                0.99057,              0.0004006,              0.0004006,              0.0004006
                    123,                 1.4291,                 3.3688,                0.98717,                0.52476,                0.41296,                0.43109,                0.25634,                 1.3782,                 3.6101,                0.99034,             0.00039561,             0.00039561,             0.00039561
                    124,                 1.4238,                 3.3577,                0.98789,                 0.5275,                0.41279,                0.43112,                0.25682,                 1.3778,                 3.6074,                0.98999,             0.00039061,             0.00039061,             0.00039061
                    125,                 1.4252,                 3.3426,                0.98588,                 0.5289,                0.41151,                0.43141,                0.25683,                 1.3776,                 3.6063,                0.98992,             0.00038562,             0.00038562,             0.00038562
                    126,                 1.4228,                  3.338,                0.98572,                 0.5251,                 0.4118,                0.43164,                 0.2569,                 1.3775,                 3.6046,                0.98977,             0.00038062,             0.00038062,             0.00038062
                    127,                 1.4191,                 3.3083,                0.98495,                0.52288,                0.41488,                0.43236,                0.25749,                 1.3773,                 3.6035,                0.98977,             0.00037562,             0.00037562,             0.00037562
